Sentence,Label
"No, class is a place for good old teacher and student information exchange. Not this modern internet stuff.",appeal to tradition
Surely we can work together to create a cultural life so some of these youngsters who feel like they can take a neighbor's life with a gun will understand that that's not the way America is meant to be.,appeal to tradition
"For five generations, the men in our family went to Stanford and became doctors, while the women got married and raised children.  Therefore, it is my duty to become a doctor.",appeal to tradition
"Marriage has traditionally been between a man and a woman; therefore, gay marriage should not be allowed.",appeal to tradition
"People have been using St. John’s Wort as a remedy for depression for generations, proving that it has legitimate therapeutic effects.",appeal to tradition
"Universities have always prioritized education for its own sake, emphasizing intellectual exploration and personal growth to foster critical thinking skills. Because this approach has been the foundation of higher education for centuries, it remains the best method.",appeal to tradition
"We’ve succeeded with physical stores for decades, so there’s no need to change.",appeal to tradition
"In our company, we've always followed a strict hierarchy with the CEO making all the decisions. ",appeal to tradition
"The English language has always been taught using textbooks and grammar rules, so using immersive language learning apps is just a fad that won't be as effective.",appeal to tradition
"In our family, we've always passed down our heirlooms from generation to generation without question. It would be disrespectful to sell them now just because they're old.",appeal to tradition
