Sentence,Label
"Yes, whoever drinks and drives has a bad reaction time. People might die.",nothing
Of course same-sex marriage should be allowed.,nothing
We shouldn't allow men to oppress women.,nothing
Good point. Why not.,nothing
Just a test argument.,nothing
"Yes, they do make schools more effective.",nothing
Better testing new medical products on animals than on humans.,nothing
We as the country cannot afford that.,nothing
"Yes, the Islamic state is becoming too big to fight without military operations.",nothing
Yes they allow us to connect.,nothing
I don't think school uniforms can influence the pupils' performance.,nothing
"Yes, if the scientific progress stays the same as the last 200 years.",nothing
"Yes, the man has been on the moon.",nothing
I don't think school uniforms can influence the pupils' performance.,nothing
"Yes, the man has been on the moon.",nothing
Children should go to regular schools.,nothing
"I own a computer-factory. And I'm outsourcing my support-callcenter to India. I don't want those people to work like animals. I pay less money than in Germany, yes, but it is still a lot of money for the workers there.",nothing
"Yes, because he's blocked more shots than any other keeper.",nothing
I don't like Heavy Metal generally.,nothing
"As long as they take the precautions and responsibilities, it is the householders who should decide together whether to smoke inside or not.",nothing
We might not want to home school all children because it is important for them to learn how to interact with others.,nothing
I do not think so because there is always the danger that the normal child might bully the handicapped one because of their mental weakness.,nothing
I regard single-sex education as bad.,nothing
I think society in general benefits from social networks.,nothing
"For first steps in basic research, animal testing for medical reasons is more efficient than human testing.",nothing
"Yes, human beings have hunted and eaten animals for as long as can be shown and they are partly to blame for certain animal extinctions.",nothing
It's irresponsible to drive under the influence of alcohol.,nothing
The information in social networks is often not reliable.,nothing
"I am a mother of 3 children and my body is not perfect anymore. But I don't care, because all people are pretty, no matter what their body looks like.",nothing
Neuer was the best goalkeeper of the World Cup in 2014 because he made the most saves.,nothing
"Yes. Although many forms of plastic surgery can be used for superficial reasons, it is important because it is also used to reconstruct things for people after bad accidents, or for gender reassignment, skin grafts from burns, etc.",nothing
"He has made an important mark in the rap industry, but he did not live long enough to be the most influential rapper of all time.",nothing
There are advantages to sending your child to a co-ed school.,nothing
It is not as effective as it could be. Many students can suffer due to ineffective policies.,nothing
Communication between family members suffers from watching TV.,nothing
Nuclear power is necessary.,nothing
Gorillas should live freely in nature.,nothing
Endless growth is impossible.,nothing
"I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.",nothing
Non-European immigrants should be accepted in Europe.,nothing
"I don’t think school children should spend as much time as they usually do isolated by age, let alone sex.",nothing
"People are not being abused. Many new companies operate in other countries for fair wages, offering opportunities that they would not otherwise have. At the same time, American citizens benefit by manufacturing efficiency and not driving American business further into debt.",nothing
"Yes, there's is no way that they could fake such an event. There is a lot proof, such as video footage and rocks brought back that could not be faked.",nothing
"I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.",nothing
"Terror has proven itself to be a real and unignorable danger, thus something has to be done.",nothing
The reason for the supporters of the war on terror is 9/11.,nothing
The Islamist terrorists are a serious threat to each form of progressive society.,nothing
"With the goal in mind to improve everyone's situation, growth is good for a country.",nothing
People have been on the moon already.,nothing
Nuclear energy is a cheap power source.,nothing
School uniforms do not make school a more effective place to learn.,nothing
I highly recommend a co-ed school.,nothing
"Social education is important, alongside academics. The real world is not segregated, nor are universities.",nothing
"High schools should provide daycare services for students who have children, because it is not legit to exclude students who have children from certain possibilities to advance in society and to cut down their freedom in educational issues in an unproportional manner.",nothing
We need drug testing to ensure fair competition.,nothing
"Yes, global warming is a serious issue.",nothing
There are some reasons for America's war on terror.,nothing
"They certainly could be more violent. The thing with Quentin Tarantino is that he understands the separation between real life and movies. He understands that movies are supposed to be wild and outrageous and that is exactly what his movies are known for, especially when it comes to violence.",nothing
"They brought several kilos of moon rocks back to earth, and you cannot simply fake four billion years old rock material.",nothing
"Christiano Ronaldo hat viele Neider, doch er ist wohl mit Abstand der momentan beste Spieler der Welt. (Cristiano Ronaldo has many detractors, but he is probably by far the best player in the world at the moment.)",nothing
It helps companies lower labor costs and increased realization of economics of scale.,nothing
Microsoft is not the new apple.,nothing
Nuclear power is an incredibly reasonable power source granted it is used by people who are responsible. It's the most effective energy source in the world and incredibly clean.,nothing
There is no denying that CO2 emissions and average temperature of the atmosphere both have gone up; there are many studies on it.,nothing
People become too involved with social media and fail to make real personal connections with others.,nothing
"Animals have a conscious mind. That means they deserve protection through law, like humans do. Nevertheless, they aren't as intelligent as humans, that's why they need a special law.",nothing
"Current civil unrest in Turkey is partly based on resentment of other European governments. Given the governments aren't getting along, it seems like Turkey isn't ready.",nothing
"No, it's not worth the risk. So many people did already die because of radiation...",nothing
"If you don't allow animals to have rights, you shouldn't have them either.",nothing
We should allow animal testing for medical purposes.,nothing
Democracy is good.,nothing
"Refugees mostly flee from the war, poverty, or tyranny in their countries. Unless these problems are solved to some extent and they have some other safe place to reside in, except EU, they should be welcome.",nothing
Rather than adopting stiffer penalties for drug use we should focus more on counseling. Drug trafficking is another story.,nothing
Computers should be allowed in classrooms.,nothing
"Personally, I’d go co-ed.",nothing
"Yes, because drug-use in professional-sport is quite common. If we don't test for drugs now, soon nobody will be able to take part there without taking drugs.",nothing
"The instructions given in the New Testament, which Christians should observe, are peaceful and focused on love.",nothing
